frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size,loglike_data,neg_loglike_data
814942.56,0,32,16384,512,1024,-60.0,60.0
768401.75,0,32,16384,512,2048,-60.0,60.0
745722.75,0,32,16384,512,4096,-60.0,60.0
734464.75,0,32,16384,512,8192,-60.0,60.0
729295.25,0,32,16384,512,16384,-60.0,60.0
726898.5,0,32,16384,512,32768,-60.0,60.0
725858.9,0,32,16384,512,65536,-60.0,60.0
1585572.2,0,32,16384,1024,2048,-60.0,60.0
1506693.0,0,32,16384,1024,4096,-60.0,60.0
1468280.8,0,32,16384,1024,8192,-60.0,60.0
1450228.8,0,32,16384,1024,16384,-60.0,60.0
1440880.4,0,32,16384,1024,32768,-60.0,60.0
1435953.8,0,32,16384,1024,65536,-60.0,60.0
3403690.0,0,32,16384,2048,4096,-60.0,60.0
3280304.5,0,32,16384,2048,8192,-60.0,60.0
3216832.0,0,32,16384,2048,16384,-60.0,60.0
3183346.8,0,32,16384,2048,32768,-60.0,60.0
3167731.5,0,32,16384,2048,65536,-60.0,60.0
7273169.5,0,32,16384,4096,8192,-60.0,60.0
7092539.5,0,32,16384,4096,16384,-60.0,60.0
6999388.5,0,32,16384,4096,32768,-60.0,60.0
6955870.5,0,32,16384,4096,65536,-60.0,60.0
496909.38,5000,32,16384,512,1024,-60.0,60.0
467330.9,5000,32,16384,512,2048,-60.0,60.0
451429.3,5000,32,16384,512,4096,-60.0,60.0
442973.5,5000,32,16384,512,8192,-60.0,60.0
438785.53,5000,32,16384,512,16384,-60.0,60.0
436699.9,5000,32,16384,512,32768,-60.0,60.0
435651.9,5000,32,16384,512,65536,-60.0,60.0
1018561.4,5000,32,16384,1024,2048,-60.0,60.0
966004.25,5000,32,16384,1024,4096,-60.0,60.0
939587.4,5000,32,16384,1024,8192,-60.0,60.0
925565.75,5000,32,16384,1024,16384,-60.0,60.0
918291.6,5000,32,16384,1024,32768,-60.0,60.0
914914.7,5000,32,16384,1024,65536,-60.0,60.0
2151200.8,5000,32,16384,2048,4096,-60.0,60.0
2059624.5,5000,32,16384,2048,8192,-60.0,60.0
2013282.6,5000,32,16384,2048,16384,-60.0,60.0
1990750.6,5000,32,16384,2048,32768,-60.0,60.0
1979369.8,5000,32,16384,2048,65536,-60.0,60.0
4581757.5,5000,32,16384,4096,8192,-60.0,60.0
4449519.0,5000,32,16384,4096,16384,-60.0,60.0
4383756.0,5000,32,16384,4096,32768,-60.0,60.0
4350221.0,5000,32,16384,4096,65536,-60.0,60.0
40406.33,10000,32,16384,512,1024,-60.0,60.0
24360.562,10000,32,16384,512,2048,-60.0,60.0
15996.5,10000,32,16384,512,4096,-60.0,60.0
11994.9375,10000,32,16384,512,8192,-60.0,60.0
9992.25,10000,32,16384,512,16384,-60.0,60.0
8944.156,10000,32,16384,512,32768,-60.0,60.0
8429.406,10000,32,16384,512,65536,-60.0,60.0
79289.625,10000,32,16384,1024,2048,-60.0,60.0
47477.875,10000,32,16384,1024,4096,-60.0,60.0
31981.625,10000,32,16384,1024,8192,-60.0,60.0
24189.812,10000,32,16384,1024,16384,-60.0,60.0
20229.188,10000,32,16384,1024,32768,-60.0,60.0
18272.5,10000,32,16384,1024,65536,-60.0,60.0
147414.69,10000,32,16384,2048,4096,-60.0,60.0
91055.81,10000,32,16384,2048,8192,-60.0,60.0
62674.0,10000,32,16384,2048,16384,-60.0,60.0
48294.625,10000,32,16384,2048,32768,-60.0,60.0
41087.625,10000,32,16384,2048,65536,-60.0,60.0
265028.25,10000,32,16384,4096,8192,-60.0,60.0
168669.5,10000,32,16384,4096,16384,-60.0,60.0
120018.75,10000,32,16384,4096,32768,-60.0,60.0
95658.0,10000,32,16384,4096,65536,-60.0,60.0
39678.562,20000,32,16384,512,1024,-60.0,60.0
22614.406,20000,32,16384,512,2048,-60.0,60.0
13585.969,20000,32,16384,512,4096,-60.0,60.0
9291.9375,20000,32,16384,512,8192,-60.0,60.0
7115.9375,20000,32,16384,512,16384,-60.0,60.0
6033.2812,20000,32,16384,512,32768,-60.0,60.0
5460.9688,20000,32,16384,512,65536,-60.0,60.0
76822.31,20000,32,16384,1024,2048,-60.0,60.0
43189.312,20000,32,16384,1024,4096,-60.0,60.0
26779.688,20000,32,16384,1024,8192,-60.0,60.0
18480.062,20000,32,16384,1024,16384,-60.0,60.0
14364.9375,20000,32,16384,1024,32768,-60.0,60.0
12254.875,20000,32,16384,1024,65536,-60.0,60.0
141756.69,20000,32,16384,2048,4096,-60.0,60.0
81976.875,20000,32,16384,2048,8192,-60.0,60.0
51794.0,20000,32,16384,2048,16384,-60.0,60.0
36724.125,20000,32,16384,2048,32768,-60.0,60.0
29009.875,20000,32,16384,2048,65536,-60.0,60.0
250236.88,20000,32,16384,4096,8192,-60.0,60.0
148543.75,20000,32,16384,4096,16384,-60.0,60.0
97471.5,20000,32,16384,4096,32768,-60.0,60.0
71599.75,20000,32,16384,4096,65536,-60.0,60.0
41995.812,40000,32,16384,512,1024,-59.99605642842195,59.99605642842195
21309.938,40000,32,16384,512,2048,-59.99605642842195,59.99605642842195
10878.4375,40000,32,16384,512,4096,-59.99605642842195,59.99605642842195
5594.5625,40000,32,16384,512,8192,-59.99605642842195,59.99605642842195
2973.5312,40000,32,16384,512,16384,-59.99605642842195,59.99605642842195
1656.2188,40000,32,16384,512,32768,-59.99605642842195,59.99605642842195
999.375,40000,32,16384,512,65536,-59.99605642842195,59.99605642842195
79934.375,40000,32,16384,1024,2048,-59.99605642842195,59.99605642842195
40462.938,40000,32,16384,1024,4096,-59.99605642842195,59.99605642842195
20733.0,40000,32,16384,1024,8192,-59.99605642842195,59.99605642842195
10783.0625,40000,32,16384,1024,16384,-59.99605642842195,59.99605642842195
5808.4375,40000,32,16384,1024,32768,-59.99605642842195,59.99605642842195
3324.75,40000,32,16384,1024,65536,-59.99605642842195,59.99605642842195
146353.25,40000,32,16384,2048,4096,-59.99605642842195,59.99605642842195
74651.5,40000,32,16384,2048,8192,-59.99605642842195,59.99605642842195
38617.125,40000,32,16384,2048,16384,-59.99605642842195,59.99605642842195
20497.5,40000,32,16384,2048,32768,-59.99605642842195,59.99605642842195
11370.375,40000,32,16384,2048,65536,-59.99605642842195,59.99605642842195
251006.0,40000,32,16384,4096,8192,-59.99605642842195,59.99605642842195
129252.0,40000,32,16384,4096,16384,-59.99605642842195,59.99605642842195
67885.25,40000,32,16384,4096,32768,-59.99605642842195,59.99605642842195
37115.25,40000,32,16384,4096,65536,-59.99605642842195,59.99605642842195
430965.38,60000,32,16384,512,1024,-60.0,60.0
397086.12,60000,32,16384,512,2048,-60.0,60.0
381169.06,60000,32,16384,512,4096,-60.0,60.0
371675.44,60000,32,16384,512,8192,-60.0,60.0
367570.7,60000,32,16384,512,16384,-60.0,60.0
365470.3,60000,32,16384,512,32768,-60.0,60.0
364289.38,60000,32,16384,512,65536,-60.0,60.0
937986.75,60000,32,16384,1024,2048,-60.0,60.0
879972.25,60000,32,16384,1024,4096,-60.0,60.0
849553.6,60000,32,16384,1024,8192,-60.0,60.0
835067.4,60000,32,16384,1024,16384,-60.0,60.0
827615.0,60000,32,16384,1024,32768,-60.0,60.0
824021.5,60000,32,16384,1024,65536,-60.0,60.0
1961418.0,60000,32,16384,2048,4096,-60.0,60.0
1866839.4,60000,32,16384,2048,8192,-60.0,60.0
1818501.2,60000,32,16384,2048,16384,-60.0,60.0
1795703.8,60000,32,16384,2048,32768,-60.0,60.0
1784303.2,60000,32,16384,2048,65536,-60.0,60.0
4284890.5,60000,32,16384,4096,8192,-60.0,60.0
4150915.8,60000,32,16384,4096,16384,-60.0,60.0
4084632.2,60000,32,16384,4096,32768,-60.0,60.0
4052068.2,60000,32,16384,4096,65536,-60.0,60.0
43208.22,80000,32,16384,512,1024,-59.99605642842195,59.99605642842195
21980.688,80000,32,16384,512,2048,-59.99605642842195,59.99605642842195
11305.656,80000,32,16384,512,4096,-59.99605642842195,59.99605642842195
5926.125,80000,32,16384,512,8192,-59.99605642842195,59.99605642842195
3180.2812,80000,32,16384,512,16384,-59.99605642842195,59.99605642842195
1820.1875,80000,32,16384,512,32768,-59.99605642842195,59.99605642842195
1154.125,80000,32,16384,512,65536,-59.99605642842195,59.99605642842195
82398.5,80000,32,16384,1024,2048,-59.99605642842195,59.99605642842195
41919.438,80000,32,16384,1024,4096,-59.99605642842195,59.99605642842195
21599.625,80000,32,16384,1024,8192,-59.99605642842195,59.99605642842195
11384.9375,80000,32,16384,1024,16384,-59.99605642842195,59.99605642842195
6237.125,80000,32,16384,1024,32768,-59.99605642842195,59.99605642842195
3690.6875,80000,32,16384,1024,65536,-59.99605642842195,59.99605642842195
150809.0,80000,32,16384,2048,4096,-59.99605642842195,59.99605642842195
77152.25,80000,32,16384,2048,8192,-59.99605642842195,59.99605642842195
40088.75,80000,32,16384,2048,16384,-59.99605642842195,59.99605642842195
21415.75,80000,32,16384,2048,32768,-59.99605642842195,59.99605642842195
12120.75,80000,32,16384,2048,65536,-59.99605642842195,59.99605642842195
257298.25,80000,32,16384,4096,8192,-59.99605642842195,59.99605642842195
132675.25,80000,32,16384,4096,16384,-59.99605642842195,59.99605642842195
69731.75,80000,32,16384,4096,32768,-59.99605642842195,59.99605642842195
38307.5,80000,32,16384,4096,65536,-59.99605642842195,59.99605642842195
41894.22,100000,32,16384,512,1024,-60.0,60.0
21115.719,100000,32,16384,512,2048,-60.0,60.0
10707.531,100000,32,16384,512,4096,-60.0,60.0
5461.9375,100000,32,16384,512,8192,-60.0,60.0
2811.2188,100000,32,16384,512,16384,-60.0,60.0
1492.5938,100000,32,16384,512,32768,-60.0,60.0
834.1875,100000,32,16384,512,65536,-60.0,60.0
79942.56,100000,32,16384,1024,2048,-60.0,60.0
40221.562,100000,32,16384,1024,4096,-60.0,60.0
20428.5,100000,32,16384,1024,8192,-60.0,60.0
10518.1875,100000,32,16384,1024,16384,-60.0,60.0
5498.1875,100000,32,16384,1024,32768,-60.0,60.0
2995.6875,100000,32,16384,1024,65536,-60.0,60.0
145640.12,100000,32,16384,2048,4096,-60.0,60.0
73869.5,100000,32,16384,2048,8192,-60.0,60.0
37861.5,100000,32,16384,2048,16384,-60.0,60.0
19662.5,100000,32,16384,2048,32768,-60.0,60.0
10577.625,100000,32,16384,2048,65536,-60.0,60.0
247826.0,100000,32,16384,4096,8192,-60.0,60.0
126752.5,100000,32,16384,4096,16384,-60.0,60.0
65684.75,100000,32,16384,4096,32768,-60.0,60.0
34951.75,100000,32,16384,4096,65536,-60.0,60.0
41009.03,110000,32,16384,512,1024,-59.99605642842195,59.99605642842195
20959.219,110000,32,16384,512,2048,-59.99605642842195,59.99605642842195
10804.031,110000,32,16384,512,4096,-59.99605642842195,59.99605642842195
5795.125,110000,32,16384,512,8192,-59.99605642842195,59.99605642842195
3236.625,110000,32,16384,512,16384,-59.99605642842195,59.99605642842195
1978.7188,110000,32,16384,512,32768,-59.99605642842195,59.99605642842195
1334.3125,110000,32,16384,512,65536,-59.99605642842195,59.99605642842195
78420.25,110000,32,16384,1024,2048,-59.99605642842195,59.99605642842195
40097.625,110000,32,16384,1024,4096,-59.99605642842195,59.99605642842195
20980.0,110000,32,16384,1024,8192,-59.99605642842195,59.99605642842195
11358.875,110000,32,16384,1024,16384,-59.99605642842195,59.99605642842195
6529.9375,110000,32,16384,1024,32768,-59.99605642842195,59.99605642842195
4115.75,110000,32,16384,1024,65536,-59.99605642842195,59.99605642842195
143431.62,110000,32,16384,2048,4096,-59.99605642842195,59.99605642842195
74377.125,110000,32,16384,2048,8192,-59.99605642842195,59.99605642842195
39563.625,110000,32,16384,2048,16384,-59.99605642842195,59.99605642842195
22081.625,110000,32,16384,2048,32768,-59.99605642842195,59.99605642842195
13305.625,110000,32,16384,2048,65536,-59.99605642842195,59.99605642842195
247134.75,110000,32,16384,4096,8192,-59.99605642842195,59.99605642842195
130466.25,110000,32,16384,4096,16384,-59.99605642842195,59.99605642842195
71724.5,110000,32,16384,4096,32768,-59.99605642842195,59.99605642842195
42233.25,110000,32,16384,4096,65536,-59.99605642842195,59.99605642842195
43860.875,120000,32,16384,512,1024,-60.0,60.0
22556.031,120000,32,16384,512,2048,-60.0,60.0
11647.1875,120000,32,16384,512,4096,-60.0,60.0
6145.0625,120000,32,16384,512,8192,-60.0,60.0
3369.8438,120000,32,16384,512,16384,-60.0,60.0
2013.5312,120000,32,16384,512,32768,-60.0,60.0
1310.5625,120000,32,16384,512,65536,-60.0,60.0
84257.625,120000,32,16384,1024,2048,-60.0,60.0
42900.438,120000,32,16384,1024,4096,-60.0,60.0
22238.562,120000,32,16384,1024,8192,-60.0,60.0
11875.875,120000,32,16384,1024,16384,-60.0,60.0
6638.8125,120000,32,16384,1024,32768,-60.0,60.0
4036.0,120000,32,16384,1024,65536,-60.0,60.0
153530.25,120000,32,16384,2048,4096,-60.0,60.0
79046.375,120000,32,16384,2048,8192,-60.0,60.0
41360.75,120000,32,16384,2048,16384,-60.0,60.0
22485.5,120000,32,16384,2048,32768,-60.0,60.0
13031.375,120000,32,16384,2048,65536,-60.0,60.0
262845.75,120000,32,16384,4096,8192,-60.0,60.0
136505.5,120000,32,16384,4096,16384,-60.0,60.0
72963.0,120000,32,16384,4096,32768,-60.0,60.0
41081.5,120000,32,16384,4096,65536,-60.0,60.0
40862.344,130000,32,16384,512,1024,-60.0,60.0
20854.469,130000,32,16384,512,2048,-60.0,60.0
10679.0,130000,32,16384,512,4096,-60.0,60.0
5675.0625,130000,32,16384,512,8192,-60.0,60.0
3125.1875,130000,32,16384,512,16384,-60.0,60.0
1851.3438,130000,32,16384,512,32768,-60.0,60.0
1220.7812,130000,32,16384,512,65536,-60.0,60.0
77589.25,130000,32,16384,1024,2048,-60.0,60.0
39462.438,130000,32,16384,1024,4096,-60.0,60.0
20470.062,130000,32,16384,1024,8192,-60.0,60.0
10937.3125,130000,32,16384,1024,16384,-60.0,60.0
6149.4375,130000,32,16384,1024,32768,-60.0,60.0
3753.375,130000,32,16384,1024,65536,-60.0,60.0
142182.25,130000,32,16384,2048,4096,-60.0,60.0
72974.125,130000,32,16384,2048,8192,-60.0,60.0
38285.25,130000,32,16384,2048,16384,-60.0,60.0
20810.375,130000,32,16384,2048,32768,-60.0,60.0
12053.375,130000,32,16384,2048,65536,-60.0,60.0
244613.0,130000,32,16384,4096,8192,-60.0,60.0
127009.25,130000,32,16384,4096,16384,-60.0,60.0
67817.5,130000,32,16384,4096,32768,-60.0,60.0
38040.25,130000,32,16384,4096,65536,-60.0,60.0
39905.25,140000,32,16384,512,1024,-60.0,60.0
20810.562,140000,32,16384,512,2048,-60.0,60.0
10948.031,140000,32,16384,512,4096,-60.0,60.0
6055.8438,140000,32,16384,512,8192,-60.0,60.0
3575.9375,140000,32,16384,512,16384,-60.0,60.0
2347.7188,140000,32,16384,512,32768,-60.0,60.0
1723.8125,140000,32,16384,512,65536,-60.0,60.0
76553.875,140000,32,16384,1024,2048,-60.0,60.0
39522.875,140000,32,16384,1024,4096,-60.0,60.0
21159.312,140000,32,16384,1024,8192,-60.0,60.0
11799.875,140000,32,16384,1024,16384,-60.0,60.0
7126.5625,140000,32,16384,1024,32768,-60.0,60.0
4786.3125,140000,32,16384,1024,65536,-60.0,60.0
140455.75,140000,32,16384,2048,4096,-60.0,60.0
73518.25,140000,32,16384,2048,8192,-60.0,60.0
39745.25,140000,32,16384,2048,16384,-60.0,60.0
22770.25,140000,32,16384,2048,32768,-60.0,60.0
14239.375,140000,32,16384,2048,65536,-60.0,60.0
242182.75,140000,32,16384,4096,8192,-60.0,60.0
128604.0,140000,32,16384,4096,16384,-60.0,60.0
71360.5,140000,32,16384,4096,32768,-60.0,60.0
42478.0,140000,32,16384,4096,65536,-60.0,60.0
39970.438,150000,32,16384,512,1024,-59.99605642842195,59.99605642842195
20824.531,150000,32,16384,512,2048,-59.99605642842195,59.99605642842195
10983.875,150000,32,16384,512,4096,-59.99605642842195,59.99605642842195
6069.8125,150000,32,16384,512,8192,-59.99605642842195,59.99605642842195
3633.875,150000,32,16384,512,16384,-59.99605642842195,59.99605642842195
2396.125,150000,32,16384,512,32768,-59.99605642842195,59.99605642842195
1789.4062,150000,32,16384,512,65536,-59.99605642842195,59.99605642842195
76470.81,150000,32,16384,1024,2048,-59.99605642842195,59.99605642842195
39472.062,150000,32,16384,1024,4096,-59.99605642842195,59.99605642842195
21077.125,150000,32,16384,1024,8192,-59.99605642842195,59.99605642842195
11806.5,150000,32,16384,1024,16384,-59.99605642842195,59.99605642842195
7151.125,150000,32,16384,1024,32768,-59.99605642842195,59.99605642842195
4794.8125,150000,32,16384,1024,65536,-59.99605642842195,59.99605642842195
139471.12,150000,32,16384,2048,4096,-59.99605642842195,59.99605642842195
72834.0,150000,32,16384,2048,8192,-59.99605642842195,59.99605642842195
39250.0,150000,32,16384,2048,16384,-59.99605642842195,59.99605642842195
22290.375,150000,32,16384,2048,32768,-59.99605642842195,59.99605642842195
13787.0,150000,32,16384,2048,65536,-59.99605642842195,59.99605642842195
239383.0,150000,32,16384,4096,8192,-59.99605642842195,59.99605642842195
125998.5,150000,32,16384,4096,16384,-59.99605642842195,59.99605642842195
68745.0,150000,32,16384,4096,32768,-59.99605642842195,59.99605642842195
39952.5,150000,32,16384,4096,65536,-59.99605642842195,59.99605642842195
44977.5,160000,32,16384,512,1024,-60.0,60.0
23111.25,160000,32,16384,512,2048,-60.0,60.0
12050.25,160000,32,16384,512,4096,-60.0,60.0
6521.1875,160000,32,16384,512,8192,-60.0,60.0
3700.2812,160000,32,16384,512,16384,-60.0,60.0
2283.3125,160000,32,16384,512,32768,-60.0,60.0
1579.75,160000,32,16384,512,65536,-60.0,60.0
85982.375,160000,32,16384,1024,2048,-60.0,60.0
44178.5,160000,32,16384,1024,4096,-60.0,60.0
23150.125,160000,32,16384,1024,8192,-60.0,60.0
12524.625,160000,32,16384,1024,16384,-60.0,60.0
7194.4375,160000,32,16384,1024,32768,-60.0,60.0
4530.4375,160000,32,16384,1024,65536,-60.0,60.0
157234.5,160000,32,16384,2048,4096,-60.0,60.0
81359.625,160000,32,16384,2048,8192,-60.0,60.0
42796.0,160000,32,16384,2048,16384,-60.0,60.0
23496.0,160000,32,16384,2048,32768,-60.0,60.0
13828.375,160000,32,16384,2048,65536,-60.0,60.0
268422.5,160000,32,16384,4096,8192,-60.0,60.0
139387.75,160000,32,16384,4096,16384,-60.0,60.0
74559.0,160000,32,16384,4096,32768,-60.0,60.0
42085.5,160000,32,16384,4096,65536,-60.0,60.0
40642.688,170000,32,16384,512,1024,-59.99605642842195,59.99605642842195
20626.438,170000,32,16384,512,2048,-59.99605642842195,59.99605642842195
10427.219,170000,32,16384,512,4096,-59.99605642842195,59.99605642842195
5371.125,170000,32,16384,512,8192,-59.99605642842195,59.99605642842195
2819.7188,170000,32,16384,512,16384,-59.99605642842195,59.99605642842195
1534.6875,170000,32,16384,512,32768,-59.99605642842195,59.99605642842195
902.65625,170000,32,16384,512,65536,-59.99605642842195,59.99605642842195
77661.75,170000,32,16384,1024,2048,-59.99605642842195,59.99605642842195
39171.938,170000,32,16384,1024,4096,-59.99605642842195,59.99605642842195
